census_year,clue_small_area,clue_industry,total_establishments
2011,Parkville,Business Services,1
2011,Port Melbourne,Manufacturing,21
2011,Port Melbourne,Other Services,3
2011,South Yarra,Retail Trade,8
2008,Melbourne (CBD),Construction,2
2008,Melbourne (CBD),Agriculture and Mining,1
2008,Melbourne (CBD),Other Services,36
2008,Melbourne (CBD),Public Administration and Safety,29
2008,Melbourne (CBD),Retail Trade,14
2008,Melbourne (Remainder),Food and Beverage Services,2
2008,Melbourne (Remainder),Education and Training,2
2008,Melbourne (Remainder),Information Media,9
2008,North Melbourne,Construction,28
2008,North Melbourne,Business Services,11
2008,North Melbourne,Rental and Hiring Services,1
2008,North Melbourne,Wholesale Trade,8
2008,Parkville,Arts and Recreation Services,1
2008,Southbank,Admin and Support Services,15
2008,West Melbourne (Industrial),"Electricity, Gas, Water",8
2023,Melbourne (Remainder),Health Care and Social Assistance,3
2023,Melbourne (Remainder),Manufacturing,4
2023,North Melbourne,Food and Beverage Services,2
2023,North Melbourne,Manufacturing,1
2023,Parkville,Education and Training,43
2023,Parkville,Health Care and Social Assistance,66
2023,Port Melbourne,Arts and Recreation Services,7
2023,Port Melbourne,Health Care and Social Assistance,2
2023,Port Melbourne,Retail Trade,23
2023,South Yarra,Manufacturing,1
2023,South Yarra,Retail Trade,4
2023,Southbank,Food and Beverage Services,116
2023,Southbank,Admin and Support Services,10
2023,Southbank,"Electricity, Gas, Water",3
2023,Southbank,Other Services,1
2023,West Melbourne (Residential),Manufacturing,1
2023,West Melbourne (Residential),Agriculture and Mining,1
2023,West Melbourne (Residential),Retail Trade,5
2023,West Melbourne (Residential),"Transport, Postal and Storage",6
2022,Docklands,Construction,5
2022,Docklands,Information Media,15
2022,East Melbourne,Education and Training,2
2022,Kensington,Food Catering Services,1
2022,Kensington,Construction,2
2022,Kensington,Finance and Insurance,1
2022,Kensington,Information Media,2
2022,Kensington,Other Services,3
2022,Melbourne (CBD),"Electricity, Gas, Water",35
2022,Melbourne (CBD),Agriculture and Mining,1
2022,Melbourne (CBD),Agriculture and Mining,8
2022,Melbourne (Remainder),Food and Beverage Services,2
2022,Melbourne (Remainder),Arts and Recreation Services,3
2022,Melbourne (Remainder),Education and Training,4
2022,Melbourne (Remainder),Finance and Insurance,6
2022,Melbourne (Remainder),Manufacturing,4
2022,Melbourne (Remainder),Business Services,6
2022,Melbourne (Remainder),"Transport, Postal and Storage",5
2022,Melbourne (Remainder),Wholesale Trade,2
2022,North Melbourne,Business Services,101
2022,North Melbourne,Retail Trade,3
2022,Parkville,"Electricity, Gas, Water",7
2022,Parkville,Public Administration and Safety,1
2022,Port Melbourne,Retail Trade,19
2022,Port Melbourne,"Transport, Postal and Storage",2
2022,Southbank,Food Catering Services,1
2022,Southbank,Admin and Support Services,1
2022,Southbank,Finance and Insurance,12
2022,Southbank,Manufacturing,5
2022,Southbank,Rental and Hiring Services,1
2022,Southbank,"Transport, Postal and Storage",1
2022,Southbank,Wholesale Trade,2
2022,West Melbourne (Industrial),"Electricity, Gas, Water",2
2022,West Melbourne (Industrial),Manufacturing,2
2022,West Melbourne (Residential),Food Catering Services,3
2022,West Melbourne (Residential),Education and Training,5
2022,West Melbourne (Residential),Information Media,2
2022,West Melbourne (Residential),Other Services,3
2022,West Melbourne (Residential),Public Administration and Safety,1
2021,Carlton,Education and Training,33
2021,Carlton,Other Services,9
2021,Docklands,Food Catering Services,3
2021,Docklands,Food Catering Services,6
2021,Docklands,"Electricity, Gas, Water",1
2021,Docklands,Other Services,4
2021,Docklands,Real Estate Services,47
2021,East Melbourne,Retail Trade,12
2021,Kensington,Food Catering Services,1
2021,Kensington,Construction,2
2021,Kensington,Retail Trade,24
2021,Melbourne (CBD),Arts and Recreation Services,17
2021,Melbourne (CBD),Construction,77
2021,Melbourne (CBD),Education and Training,5
2021,Melbourne (CBD),"Electricity, Gas, Water",35
2021,Melbourne (CBD),Finance and Insurance,32
2021,Melbourne (CBD),Real Estate Services,150
2021,Melbourne (CBD),Retail Trade,1057
2021,Melbourne (Remainder),"Electricity, Gas, Water",2
2021,Melbourne (Remainder),Information Media,1
2021,North Melbourne,Agriculture and Mining,1
2021,North Melbourne,Finance and Insurance,11
2021,North Melbourne,Retail Trade,1
2021,Parkville,Food and Beverage Services,9
2021,Parkville,Education and Training,3
2021,Parkville,Other Services,11
2021,Port Melbourne,Food Catering Services,1
2021,Port Melbourne,Arts and Recreation Services,5
2021,Port Melbourne,Health Care and Social Assistance,1
2021,Port Melbourne,Other Services,5
2021,Port Melbourne,Business Services,2
2021,Port Melbourne,Business Services,49
2021,South Yarra,Arts and Recreation Services,1
2021,South Yarra,Public Administration and Safety,1
2021,Southbank,Construction,1
2021,Southbank,"Electricity, Gas, Water",1
2021,Southbank,Information Media,3
2021,Southbank,Real Estate Services,5
2021,Southbank,"Transport, Postal and Storage",4
2021,West Melbourne (Industrial),Food and Beverage Services,4
2021,West Melbourne (Industrial),Wholesale Trade,5
2021,West Melbourne (Residential),Food Catering Services,4
2021,West Melbourne (Residential),Education and Training,5
2021,West Melbourne (Residential),Education and Training,11
2021,West Melbourne (Residential),Other Services,3
2021,West Melbourne (Residential),Other Services,5
2021,West Melbourne (Residential),Real Estate Services,1
2021,West Melbourne (Residential),Real Estate Services,6
2021,West Melbourne (Residential),Retail Trade,1
2020,Carlton,Food and Beverage Services,13
2020,Carlton,Food and Beverage Services,1
2020,Carlton,Admin and Support Services,1
2020,Carlton,Health Care and Social Assistance,1
2020,Carlton,Business Services,92
2020,Carlton,Public Administration and Safety,3
2020,Carlton,Real Estate Services,1
2020,Docklands,Arts and Recreation Services,30
2020,Docklands,"Electricity, Gas, Water",1
2020,Docklands,Finance and Insurance,40
2020,Docklands,Public Administration and Safety,6
2020,Docklands,"Transport, Postal and Storage",6
2020,Docklands,Wholesale Trade,1
2020,East Melbourne,Retail Trade,1
2020,Kensington,Food and Beverage Services,45
2020,Kensington,Construction,20
2020,Kensington,Education and Training,4
2020,Kensington,Information Media,4
2020,Kensington,Other Services,2
2020,Kensington,Business Services,10
2020,Kensington,Real Estate Services,6
2020,Kensington,"Transport, Postal and Storage",6
2020,Kensington,Wholesale Trade,26
2020,Melbourne (CBD),Food Catering Services,51
2020,Melbourne (CBD),Information Media,42
2020,Melbourne (CBD),Manufacturing,183
2020,Melbourne (CBD),Agriculture and Mining,21
2020,Melbourne (CBD),Rental and Hiring Services,8
2020,Melbourne (CBD),Retail Trade,67
2020,Melbourne (Remainder),Admin and Support Services,1
2020,Melbourne (Remainder),Education and Training,4
2020,Melbourne (Remainder),Manufacturing,1
2020,Melbourne (Remainder),Business Services,10
2020,Melbourne (Remainder),Public Administration and Safety,2
2020,Melbourne (Remainder),Retail Trade,1
2020,Melbourne (Remainder),Wholesale Trade,2
2020,North Melbourne,Food and Beverage Services,2
2020,North Melbourne,Admin and Support Services,5
2020,North Melbourne,Education and Training,12
2020,North Melbourne,"Electricity, Gas, Water",24
2020,North Melbourne,Finance and Insurance,11
2020,North Melbourne,Health Care and Social Assistance,4
2020,North Melbourne,Health Care and Social Assistance,73
2020,North Melbourne,Other Services,6
2020,North Melbourne,Other Services,12
2020,North Melbourne,Retail Trade,73
2020,North Melbourne,"Transport, Postal and Storage",14
2020,Parkville,Food Catering Services,9
2020,Parkville,Finance and Insurance,7
2020,Parkville,Information Media,2
2020,Port Melbourne,Admin and Support Services,21
2020,Port Melbourne,Arts and Recreation Services,1
2020,Port Melbourne,Construction,18
2020,Port Melbourne,Construction,43
2020,Port Melbourne,Finance and Insurance,7
2020,South Yarra,Arts and Recreation Services,2
2020,Southbank,Food Catering Services,16
2020,Southbank,Food and Beverage Services,153
2020,Southbank,Construction,1
2020,Southbank,Construction,15
2020,Southbank,Health Care and Social Assistance,22
2020,Southbank,Business Services,6
2020,Southbank,Real Estate Services,4
2020,Southbank,Retail Trade,210
2020,Southbank,Wholesale Trade,2
2020,West Melbourne (Industrial),Admin and Support Services,1
2020,West Melbourne (Industrial),Arts and Recreation Services,7
2020,West Melbourne (Industrial),Business Services,2
2020,West Melbourne (Residential),Education and Training,5
2020,West Melbourne (Residential),Retail Trade,31
2019,Carlton,Food Catering Services,16
2019,Carlton,Arts and Recreation Services,1
2019,Carlton,Arts and Recreation Services,20
2019,Carlton,Construction,13
2019,Carlton,Information Media,7
2019,Docklands,Food Catering Services,5
2019,Docklands,Admin and Support Services,26
2019,Docklands,Arts and Recreation Services,3
2019,Docklands,Education and Training,1
2019,Docklands,"Electricity, Gas, Water",2
2019,Docklands,"Electricity, Gas, Water",2
2019,Docklands,Finance and Insurance,41
2019,Docklands,Business Services,21
2019,Docklands,Rental and Hiring Services,7
2019,Docklands,Retail Trade,2
2019,Docklands,Retail Trade,10
2019,Docklands,Retail Trade,187
2019,Docklands,"Transport, Postal and Storage",29
2019,East Melbourne,Construction,1
2019,East Melbourne,Construction,5
2019,East Melbourne,"Electricity, Gas, Water",6
2019,East Melbourne,Public Administration and Safety,4
2019,Kensington,Food and Beverage Services,3
2019,Kensington,Arts and Recreation Services,12
2019,Kensington,Manufacturing,6
2019,Kensington,Business Services,9
2019,Kensington,"Transport, Postal and Storage",6
2019,Melbourne (CBD),Admin and Support Services,96
2019,Melbourne (CBD),Arts and Recreation Services,28
2019,Melbourne (CBD),Arts and Recreation Services,20
2019,Melbourne (CBD),"Electricity, Gas, Water",9
2019,Melbourne (CBD),Finance and Insurance,37
2019,Melbourne (CBD),Health Care and Social Assistance,2
2019,Melbourne (CBD),Health Care and Social Assistance,4
2019,Melbourne (CBD),Public Administration and Safety,89
2019,Melbourne (CBD),Retail Trade,93
2019,Melbourne (CBD),"Transport, Postal and Storage",5
2019,Melbourne (CBD),Wholesale Trade,5
2019,Melbourne (CBD),Wholesale Trade,104
2019,Melbourne (Remainder),Food and Beverage Services,5
2019,Melbourne (Remainder),Food and Beverage Services,6
2019,Melbourne (Remainder),Food and Beverage Services,38
2019,Melbourne (Remainder),Education and Training,4
2019,Melbourne (Remainder),Business Services,15
2019,Melbourne (Remainder),Real Estate Services,9
2019,Melbourne (Remainder),Retail Trade,1
2019,Melbourne (Remainder),Retail Trade,1
2019,Melbourne (Remainder),Wholesale Trade,1
2019,North Melbourne,Food Catering Services,2
2019,North Melbourne,Manufacturing,6
2019,North Melbourne,Manufacturing,2
2019,North Melbourne,Real Estate Services,14
2019,Parkville,Food Catering Services,8
2019,Parkville,Business Services,1
2019,Parkville,"Transport, Postal and Storage",2
2019,Port Melbourne,Information Media,17
2019,Port Melbourne,Other Services,13
2019,Port Melbourne,Business Services,16
2019,Port Melbourne,Public Administration and Safety,1
2019,Port Melbourne,Public Administration and Safety,10
2019,Port Melbourne,Rental and Hiring Services,3
2019,Port Melbourne,Wholesale Trade,16
2019,South Yarra,"Electricity, Gas, Water",6
2019,Southbank,Food Catering Services,3
2019,Southbank,Food and Beverage Services,67
2019,Southbank,Food Catering Services,3
2019,Southbank,Arts and Recreation Services,19
2019,Southbank,Construction,5
2019,Southbank,Health Care and Social Assistance,24
2019,Southbank,Information Media,12
2019,Southbank,Manufacturing,6
2019,Southbank,Other Services,2
2019,Southbank,Public Administration and Safety,2
2019,Southbank,"Transport, Postal and Storage",4
2019,Southbank,Wholesale Trade,5
2019,Southbank,Wholesale Trade,10
2019,West Melbourne (Industrial),Arts and Recreation Services,1
2019,West Melbourne (Residential),Food and Beverage Services,54
2019,West Melbourne (Residential),Arts and Recreation Services,9
2019,West Melbourne (Residential),Manufacturing,3
2019,West Melbourne (Residential),Public Administration and Safety,1
2019,West Melbourne (Residential),Retail Trade,1
2019,West Melbourne (Residential),Wholesale Trade,1
2018,Carlton,Construction,2
2018,Carlton,Information Media,7
2018,Carlton,Public Administration and Safety,3
2018,Carlton,Public Administration and Safety,9
2018,Carlton,Wholesale Trade,14
2018,Docklands,Admin and Support Services,13
2018,Docklands,Information Media,5
2018,Docklands,Public Administration and Safety,6
2018,Docklands,Real Estate Services,5
2018,Docklands,"Transport, Postal and Storage",6
2018,East Melbourne,Arts and Recreation Services,7
2018,East Melbourne,Health Care and Social Assistance,30
2018,East Melbourne,Wholesale Trade,3
2018,Kensington,Admin and Support Services,9
2018,Kensington,Education and Training,6
2018,Kensington,Finance and Insurance,3
2018,Kensington,Rental and Hiring Services,8
2018,Kensington,"Transport, Postal and Storage",5
2018,Kensington,"Transport, Postal and Storage",9
2018,Melbourne (CBD),Admin and Support Services,92
2018,Melbourne (CBD),Arts and Recreation Services,30
2018,Melbourne (CBD),Construction,3
2018,Melbourne (CBD),Construction,2
2018,Melbourne (CBD),Agriculture and Mining,7
2018,Melbourne (CBD),Other Services,2
2018,Melbourne (CBD),Real Estate Services,11
2018,Melbourne (Remainder),Business Services,20
2018,North Melbourne,Food Catering Services,13
2018,North Melbourne,Admin and Support Services,5
2018,North Melbourne,Admin and Support Services,2
2018,North Melbourne,Education and Training,27
2018,North Melbourne,Finance and Insurance,3
2018,North Melbourne,Health Care and Social Assistance,1
2018,North Melbourne,Manufacturing,6
2018,North Melbourne,Public Administration and Safety,1
2018,North Melbourne,Retail Trade,1
2018,North Melbourne,"Transport, Postal and Storage",5
2018,North Melbourne,Wholesale Trade,46
2018,Parkville,Education and Training,3
2018,Parkville,Public Administration and Safety,1
2018,Port Melbourne,Arts and Recreation Services,4
2018,Port Melbourne,Finance and Insurance,1
2018,Port Melbourne,Business Services,1
2018,Port Melbourne,Public Administration and Safety,3
2018,Port Melbourne,Wholesale Trade,1
2018,Port Melbourne,Wholesale Trade,50
2018,South Yarra,Food and Beverage Services,5
2018,South Yarra,"Electricity, Gas, Water",5
2018,South Yarra,Other Services,7
2018,Southbank,Agriculture and Mining,3
2018,Southbank,Agriculture and Mining,2
2018,Southbank,Rental and Hiring Services,4
2018,West Melbourne (Residential),Construction,9
2018,West Melbourne (Residential),Education and Training,8
2018,West Melbourne (Residential),Health Care and Social Assistance,4
2018,West Melbourne (Residential),Other Services,4
2018,West Melbourne (Residential),Rental and Hiring Services,2
2018,West Melbourne (Residential),Retail Trade,2
2017,Carlton,Admin and Support Services,6
2017,Carlton,Health Care and Social Assistance,87
2017,Carlton,Information Media,12
2017,Carlton,Public Administration and Safety,1
2017,Carlton,Real Estate Services,1
2017,Carlton,Rental and Hiring Services,1
2017,Carlton,Retail Trade,4
2017,Docklands,Food and Beverage Services,229
2017,Docklands,Admin and Support Services,9
2017,Docklands,Education and Training,6
2017,Docklands,Health Care and Social Assistance,25
2017,Docklands,Information Media,8
2017,Docklands,Manufacturing,1
2017,Docklands,Public Administration and Safety,4
2017,Docklands,Real Estate Services,5
2017,Docklands,Retail Trade,8
2017,Docklands,Retail Trade,4
2017,East Melbourne,Information Media,2
2017,East Melbourne,Information Media,7
2017,East Melbourne,Manufacturing,2
2017,East Melbourne,Other Services,31
2017,East Melbourne,"Transport, Postal and Storage",2
2017,Kensington,Education and Training,6
2017,Kensington,Retail Trade,36
2017,Kensington,Wholesale Trade,22
2017,Melbourne (CBD),Arts and Recreation Services,20
2017,Melbourne (CBD),Construction,4
2017,Melbourne (CBD),"Electricity, Gas, Water",34
2017,Melbourne (CBD),Manufacturing,233
2017,Melbourne (CBD),Agriculture and Mining,1
2017,Melbourne (CBD),Agriculture and Mining,25
2017,Melbourne (CBD),Real Estate Services,8
2017,Melbourne (CBD),Wholesale Trade,1
2017,Melbourne (Remainder),Arts and Recreation Services,3
2017,Melbourne (Remainder),"Transport, Postal and Storage",4
2017,Melbourne (Remainder),Wholesale Trade,4
2017,North Melbourne,Agriculture and Mining,1
2017,North Melbourne,Construction,36
2017,North Melbourne,Finance and Insurance,2
2017,North Melbourne,Business Services,18
2017,North Melbourne,"Transport, Postal and Storage",2
2017,North Melbourne,"Transport, Postal and Storage",23
2017,North Melbourne,Wholesale Trade,4
2017,Parkville,Food and Beverage Services,5
2017,Parkville,Food Catering Services,7
2017,Parkville,Arts and Recreation Services,3
2017,Parkville,Other Services,7
2011,Melbourne (Remainder),Arts and Recreation Services,10
2011,Melbourne (Remainder),Wholesale Trade,3
2011,North Melbourne,Construction,32
2011,North Melbourne,Real Estate Services,1
2011,Parkville,Education and Training,2
2011,Parkville,Information Media,1
2011,Parkville,"Transport, Postal and Storage",1
2011,Port Melbourne,Information Media,2
2011,Port Melbourne,Other Services,2
2011,Port Melbourne,Real Estate Services,2
2011,South Yarra,Food Catering Services,8
2011,Southbank,Admin and Support Services,1
2011,Southbank,Construction,9
2011,Southbank,"Electricity, Gas, Water",1
2011,Southbank,Manufacturing,5
2011,Southbank,Other Services,4
2011,West Melbourne (Industrial),"Transport, Postal and Storage",4
2011,West Melbourne (Residential),Admin and Support Services,4
2011,West Melbourne (Residential),Public Administration and Safety,2
2011,West Melbourne (Residential),Retail Trade,44
2010,Carlton,Food and Beverage Services,1
2010,Carlton,Real Estate Services,1
2010,Carlton,Retail Trade,5
2010,Docklands,Admin and Support Services,2
2010,Docklands,Health Care and Social Assistance,12
2010,Docklands,Wholesale Trade,2
2010,East Melbourne,Other Services,1
2010,Kensington,Retail Trade,2
2010,Melbourne (CBD),Food Catering Services,3
2010,Melbourne (CBD),Arts and Recreation Services,1
2010,Melbourne (CBD),Arts and Recreation Services,10
2010,Melbourne (CBD),"Transport, Postal and Storage",23
2010,Melbourne (Remainder),Food Catering Services,1
2010,Melbourne (Remainder),Agriculture and Mining,1
2010,North Melbourne,Construction,32
2010,Parkville,Education and Training,2
2010,Port Melbourne,Agriculture and Mining,2
2010,Port Melbourne,Manufacturing,1
2010,Port Melbourne,Real Estate Services,2
2010,South Yarra,Food Catering Services,1
2010,South Yarra,Food Catering Services,8
2010,South Yarra,Information Media,1
2010,Southbank,Food and Beverage Services,76
2010,Southbank,Education and Training,8
2010,Southbank,Information Media,8
2010,Southbank,Wholesale Trade,11
2010,West Melbourne (Industrial),Arts and Recreation Services,8
2010,West Melbourne (Industrial),Rental and Hiring Services,4
2010,West Melbourne (Industrial),"Transport, Postal and Storage",18
2010,West Melbourne (Industrial),"Transport, Postal and Storage",16
2010,West Melbourne (Residential),Information Media,8
2010,West Melbourne (Residential),Business Services,89
2009,Carlton,Food Catering Services,4
2009,Carlton,Rental and Hiring Services,2
2009,Carlton,Wholesale Trade,1
2009,Docklands,Food Catering Services,4
2009,Docklands,Food and Beverage Services,140
2009,Docklands,Arts and Recreation Services,2
2009,Docklands,Information Media,5
2009,Docklands,Wholesale Trade,8
2009,East Melbourne,Arts and Recreation Services,1
2009,East Melbourne,Manufacturing,1
2009,Kensington,Admin and Support Services,1
2009,Kensington,Arts and Recreation Services,2
2009,Kensington,Real Estate Services,1
2009,Kensington,Rental and Hiring Services,3
2009,Melbourne (CBD),Food and Beverage Services,152
2009,Melbourne (CBD),Business Services,290
2009,Melbourne (CBD),Wholesale Trade,10
2009,Melbourne (Remainder),Education and Training,2
2009,Melbourne (Remainder),Education and Training,1
2009,North Melbourne,Other Services,11
2009,North Melbourne,"Transport, Postal and Storage",32
2009,Parkville,Information Media,3
2009,Port Melbourne,Food and Beverage Services,2
2009,Port Melbourne,Construction,23
2009,Port Melbourne,Education and Training,4
2009,Port Melbourne,Manufacturing,18
2009,Port Melbourne,Business Services,1
2009,Southbank,"Transport, Postal and Storage",2
2009,West Melbourne (Industrial),Admin and Support Services,1
2009,West Melbourne (Residential),Education and Training,7
2009,West Melbourne (Residential),"Electricity, Gas, Water",2
2009,West Melbourne (Residential),Other Services,5
2008,Carlton,Admin and Support Services,5
2008,Carlton,Arts and Recreation Services,1
2008,Carlton,Other Services,9
2008,Carlton,Business Services,4
2008,Docklands,Construction,5
2008,Docklands,Finance and Insurance,1
2008,Docklands,Public Administration and Safety,5
2008,Docklands,Public Administration and Safety,1
2008,East Melbourne,Food and Beverage Services,1
2008,East Melbourne,Food Catering Services,2
2008,East Melbourne,Arts and Recreation Services,1
2008,East Melbourne,Manufacturing,4
2008,East Melbourne,Other Services,37
2008,East Melbourne,Real Estate Services,6
2008,Melbourne (CBD),Food Catering Services,4
2008,Melbourne (CBD),Agriculture and Mining,6
2008,Melbourne (CBD),Finance and Insurance,545
2008,Melbourne (CBD),Manufacturing,2
2008,Melbourne (CBD),"Transport, Postal and Storage",65
2008,Melbourne (Remainder),Admin and Support Services,1
2008,Melbourne (Remainder),Construction,7
2008,North Melbourne,Health Care and Social Assistance,1
2008,Port Melbourne,Construction,8
2008,Port Melbourne,Retail Trade,15
2008,South Yarra,Education and Training,2
2008,South Yarra,Education and Training,7
2004,Melbourne (CBD),Education and Training,7
2004,Melbourne (CBD),Health Care and Social Assistance,16
2004,Melbourne (Remainder),Health Care and Social Assistance,43
2023,Melbourne (CBD),Real Estate Services,142
2023,Melbourne (Remainder),"Transport, Postal and Storage",2
2023,North Melbourne,Finance and Insurance,2
2023,North Melbourne,Information Media,3
2023,North Melbourne,"Transport, Postal and Storage",12
2023,North Melbourne,Wholesale Trade,3
2023,Parkville,Information Media,2
2023,Parkville,Real Estate Services,1
2023,Parkville,Retail Trade,1
2023,Parkville,"Transport, Postal and Storage",2
2023,Port Melbourne,"Transport, Postal and Storage",15
2023,South Yarra,Education and Training,4
2023,Southbank,Arts and Recreation Services,14
2023,Southbank,Arts and Recreation Services,18
2023,Southbank,Information Media,5
2023,Southbank,Wholesale Trade,4
2023,West Melbourne (Residential),Business Services,1
2022,Carlton,Construction,1
2022,Carlton,Public Administration and Safety,2
2022,Docklands,"Electricity, Gas, Water",9
2022,Docklands,Finance and Insurance,6
2022,Docklands,Public Administration and Safety,7
2022,East Melbourne,Food Catering Services,2
2022,East Melbourne,Health Care and Social Assistance,5
2022,Kensington,Health Care and Social Assistance,19
2022,Kensington,Real Estate Services,1
2022,Melbourne (CBD),Food Catering Services,52
2022,Melbourne (CBD),"Electricity, Gas, Water",14
2019,Carlton,Public Administration and Safety,9
2019,East Melbourne,Arts and Recreation Services,2
2019,East Melbourne,Business Services,1
2019,East Melbourne,Business Services,60
2019,Melbourne (CBD),Public Administration and Safety,66
2019,Melbourne (Remainder),Food Catering Services,1
2019,Melbourne (Remainder),Finance and Insurance,6
2019,Melbourne (Remainder),Other Services,8
2019,Melbourne (Remainder),Other Services,12
2019,Melbourne (Remainder),Retail Trade,16
2019,North Melbourne,Agriculture and Mining,1
2019,North Melbourne,Rental and Hiring Services,4
2019,North Melbourne,Wholesale Trade,1
2019,Parkville,Food Catering Services,4
2019,Parkville,Manufacturing,1
2019,Parkville,"Transport, Postal and Storage",2
2019,Port Melbourne,Information Media,1
2019,West Melbourne (Industrial),Food and Beverage Services,6
2019,West Melbourne (Industrial),Real Estate Services,1
2019,West Melbourne (Residential),Education and Training,8
2019,West Melbourne (Residential),Health Care and Social Assistance,1
2019,West Melbourne (Residential),Other Services,5
2019,West Melbourne (Residential),Business Services,88
2019,West Melbourne (Residential),Retail Trade,2
2019,West Melbourne (Residential),Retail Trade,40
2018,Docklands,Retail Trade,2
2018,Docklands,Retail Trade,10
2018,Docklands,Retail Trade,2
2018,Docklands,Wholesale Trade,2
2018,East Melbourne,Arts and Recreation Services,22
2018,East Melbourne,Finance and Insurance,4
2018,East Melbourne,Finance and Insurance,10
2018,East Melbourne,Other Services,30
2018,East Melbourne,Public Administration and Safety,9
2018,East Melbourne,Public Administration and Safety,4
2018,East Melbourne,Wholesale Trade,3
2018,Kensington,Admin and Support Services,1
2018,Kensington,Retail Trade,1
2018,Melbourne (CBD),Admin and Support Services,7
2018,Melbourne (CBD),Wholesale Trade,7
2018,Melbourne (Remainder),Health Care and Social Assistance,3
2018,Melbourne (Remainder),Information Media,3
2018,Melbourne (Remainder),Manufacturing,1
2018,Melbourne (Remainder),Retail Trade,16
2018,Melbourne (Remainder),"Transport, Postal and Storage",2
2018,North Melbourne,Food and Beverage Services,6
2018,North Melbourne,Food Catering Services,6
2018,North Melbourne,Other Services,6
2018,North Melbourne,Other Services,119
2018,Parkville,Finance and Insurance,7
2018,Port Melbourne,Admin and Support Services,1
2018,Port Melbourne,Information Media,1
2018,Port Melbourne,Information Media,5
2018,Port Melbourne,Information Media,2
2018,Port Melbourne,"Transport, Postal and Storage",5
2018,South Yarra,Arts and Recreation Services,4
2018,South Yarra,Education and Training,1
2018,Southbank,Arts and Recreation Services,17
2018,Southbank,Finance and Insurance,1
2018,Southbank,Health Care and Social Assistance,6
2018,Southbank,Agriculture and Mining,2
2018,Southbank,Business Services,61
2018,West Melbourne (Industrial),"Electricity, Gas, Water",6
2018,West Melbourne (Industrial),Business Services,5
2018,West Melbourne (Industrial),Rental and Hiring Services,1
2018,West Melbourne (Industrial),"Transport, Postal and Storage",14
2018,West Melbourne (Residential),Health Care and Social Assistance,21
2018,West Melbourne (Residential),Other Services,5
2017,Carlton,Business Services,16
2017,Carlton,Wholesale Trade,14
2017,Docklands,Food and Beverage Services,23
2017,Docklands,Arts and Recreation Services,15
2017,Docklands,Other Services,22
2017,East Melbourne,Arts and Recreation Services,13
2017,East Melbourne,Construction,1
2017,East Melbourne,Construction,4
2017,Kensington,Arts and Recreation Services,14
2017,Kensington,Health Care and Social Assistance,6
2017,Kensington,Business Services,6
2017,Kensington,Retail Trade,3
2017,Kensington,"Transport, Postal and Storage",9
2017,Melbourne (CBD),Agriculture and Mining,3
2017,Melbourne (CBD),Finance and Insurance,163
2017,Melbourne (CBD),Retail Trade,91
2017,Melbourne (Remainder),Other Services,2
2017,Melbourne (Remainder),Other Services,13
2017,Melbourne (Remainder),Retail Trade,16
2017,Melbourne (Remainder),"Transport, Postal and Storage",1
2017,North Melbourne,Health Care and Social Assistance,1
2017,North Melbourne,Other Services,10
2017,North Melbourne,Business Services,1
2017,North Melbourne,Wholesale Trade,1
2017,Parkville,Food Catering Services,7
2017,Parkville,Education and Training,43
2017,Parkville,"Transport, Postal and Storage",3
2017,Port Melbourne,Admin and Support Services,22
2017,South Yarra,Food and Beverage Services,3
2017,Southbank,Health Care and Social Assistance,6
2017,Southbank,Manufacturing,4
2017,Southbank,Agriculture and Mining,2
2017,West Melbourne (Industrial),"Electricity, Gas, Water",7
2017,West Melbourne (Industrial),"Electricity, Gas, Water",1
2017,West Melbourne (Residential),Finance and Insurance,11
2017,West Melbourne (Residential),Health Care and Social Assistance,14
2016,Carlton,Food and Beverage Services,1
2016,Carlton,Food Catering Services,18
2016,Carlton,Food and Beverage Services,220
2016,Carlton,Public Administration and Safety,8
2016,Carlton,Rental and Hiring Services,1
2016,Docklands,Finance and Insurance,9
2016,Docklands,Information Media,8
2016,Docklands,Business Services,126
2016,Docklands,Real Estate Services,5
2016,Docklands,Retail Trade,8
2016,Kensington,Arts and Recreation Services,55
2016,Kensington,Information Media,1
2016,Kensington,Manufacturing,10
2016,Melbourne (CBD),Finance and Insurance,153
2016,Melbourne (CBD),Finance and Insurance,525
2016,Melbourne (CBD),Rental and Hiring Services,14
2016,Melbourne (Remainder),Food and Beverage Services,5
2016,Melbourne (Remainder),Food Catering Services,1
2016,Melbourne (Remainder),Admin and Support Services,1
2016,Melbourne (Remainder),Admin and Support Services,2
2016,Melbourne (Remainder),Construction,4
2016,North Melbourne,Public Administration and Safety,8
2016,North Melbourne,Retail Trade,88
2016,Parkville,Health Care and Social Assistance,7
2016,Parkville,Business Services,13
2016,Port Melbourne,Health Care and Social Assistance,3
2016,Port Melbourne,Manufacturing,58
2016,Port Melbourne,Other Services,1
2016,Port Melbourne,Business Services,70
2016,Port Melbourne,"Transport, Postal and Storage",1
2016,South Yarra,Arts and Recreation Services,1
2016,Southbank,Construction,14
2016,Southbank,Finance and Insurance,1
2016,Southbank,Business Services,66
2016,Southbank,Public Administration and Safety,2
2016,Southbank,Wholesale Trade,3
2015,Carlton,Food Catering Services,26
2015,Carlton,Admin and Support Services,2
2015,Carlton,Agriculture and Mining,2
2015,Carlton,Arts and Recreation Services,17
2015,Carlton,Other Services,104
